trailingPE,priceToBook,fiftyTwoWeekHigh,fiftyTwoWeekLow,revenueGrowth,totalRevenue,grossMargins,fullTimeEmployees,operatingMargins,Cluster
39.082672,55.392067,260.1,164.08,0.04,395760009216.0,0.46519002,150000.0,0.34459,0
33.558872,10.221311,468.35,385.58,0.123,261802000384.0,0.69408995,228000.0,0.45458,0
40.3038,8.256038,242.52,151.61,0.105,637959012352.0,0.48854,1556000.0,0.11291,2
22.955223,6.932612,207.05,130.67,0.118,350018011136.0,0.582,183323.0,0.33967,0
172.03883,15.631616,488.54,138.8,0.021,97690001408.0,0.17863001,125665.0,0.06158,0
27.578583,5.3760686,168.85,140.68,0.053,88820998144.0,0.69111,138100.0,0.16377,0
40.16942,8.863864,105.3,57.77,0.055,673819000832.0,0.24697,2100000.0,0.03955,2
13.515704,2.298692,280.25,179.2,0.13,166774996992.0,0.0,317233.0,0.42988,0
26.625797,7.782639,180.43,153.52,0.021,84346003456.0,0.51717,108000.0,0.27181998,0
55.379448,52.104874,153.13,74.22,0.936,113268998144.0,0.7586,29600.0,0.62337,0
26.755255,67.726105,439.37,323.77,0.066,154595999744.0,0.33495,465000.0,0.13472,0
35.89286,1.9629952,123.74,83.91,0.048,92501999616.0,0.36740002,177080.0,0.16784,0
19.45614,3.7755942,93.66,56.97,0.042,31797000192.0,0.40537998,24400.0,0.17379999,0
40.611393,79.39113,576.94,428.86,0.144,28167000064.0,1.0,35300.0,0.56323004,0
10.263286,1.8024095,45.36,37.59,0.016,134787997696.0,0.60005003,99600.0,0.21226999,0
36.84684,14.216171,587.75,403.75,0.111,21504999424.0,0.89035004,30709.0,0.363,0
51.692234,17.711817,1064.5,542.01,0.16,39000965120.0,0.46056998,14000.0,0.22181,0
8.794686,1.6118464,45.31,32.5,0.021,123731001344.0,0.70075,182000.0,0.15648,0
17.550335,1.7978686,26.35,15.94,0.009,122336002048.0,0.59766,140990.0,0.18184,0
21.422415,11.339266,183.41,141.51,-0.002,91853996032.0,0.5489,319000.0,0.10639,0
28.364035,5.6490216,66.5,44.5,0.094,54175997952.0,0.65132004,90400.0,0.22320999,0
17.430628,5.8041315,133.28,99.71,0.072,41949999104.0,0.55712,114000.0,0.18298,0
23.83642,8.153505,106.62,68.62,-0.077,48978001920.0,0.44726002,79400.0,0.11203,0
84.05021,106.62421,207.32,153.58,0.056,56334000128.0,0.70311,55000.0,0.3328,0
52.459637,5.2014894,369.0,212.0,0.083,37189001216.0,0.76945,72682.0,0.20637,0
32.231155,8.240156,398.35,278.69,0.09,66361704448.0,0.32454,799000.0,0.16668,0
26.810976,2.285046,93.08,75.96,0.025,33198999552.0,0.65571,95000.0,0.20996,0
177.14064,3.8287094,251.88,119.756,0.164,51574001664.0,0.75205004,37000.0,0.31765,0
18.737864,7.143151,230.63,149.43,0.175,40696000512.0,0.55993,49000.0,0.30465,0
